t_s,TAS_m_s,ref_m_s,thrust_N,err_m_s
0.0,61.73328,61.73328,476.6719970703125,0.0
0.1,61.662437912291814,61.73328,42.71817398071289,0.07084208770818634
0.2,61.57716762597482,61.73328,87.26419067382812,0.1561123740251773
0.30000000000000004,61.49345667744809,61.73328,129.6824951171875,0.23982332255191352
0.4,61.41123210164982,61.73328,171.6131591796875,0.3220478983501778
0.5,61.330475783359496,61.73328,213.0532684326172,0.40280421664050436
0.6000000000000001,61.25116955471571,61.73328,254.00613403320312,0.4821104452842917
0.7000000000000001,61.17329540223519,61.73328,294.48193359375,0.5599845977648101
0.8,61.09683569507553,61.73328,334.47833251953125,0.6364443049244741
0.9,61.02177276611854,61.73328,374.004150390625,0.7115072338814628
1.0,60.94808928358272,61.73328,413.0643310546875,0.7851907164172829
1.1,60.87576812053597,61.73328,451.66217041015625,0.8575118794640275
1.2000000000000002,60.80479229891275,61.73328,489.80108642578125,0.9284877010872492
1.3,60.73514499269013,61.73328,527.4848022460938,0.9981350073098696
1.4000000000000001,60.66680953719106,61.73328,564.7215576171875,1.0664704628089439
1.5,60.599769579010854,61.73328,601.51220703125,1.133510420989147
1.6,60.534008828459925,61.73328,637.863037109375,1.199271171540076
1.7000000000000002,60.46951124016725,61.73328,673.7752075195312,1.2637687598327503
1.8,60.406260841007885,61.73328,709.2576904296875,1.3270191589921154
1.9000000000000001,60.344241990209376,61.73328,744.311279296875,1.3890380097906245
2.0,60.283439105351164,61.73328,778.9403076171875,1.4498408946488368
2.1,60.22383677985947,61.73328,813.151123046875,1.5094432201405326
2.2,60.165419849483236,61.73328,846.9429321289062,1.5678601505167649
2.3000000000000003,60.10817315304943,61.73328,880.3251342773438,1.6251068469505725
2.4000000000000004,60.052081872174966,61.73328,913.2987670898438,1.6811981278250343
2.5,59.99713125122068,61.73328,945.8685302734375,1.7361487487793212
2.6,59.94330671893162,61.73328,978.0386962890625,1.7899732810683773
2.7,59.890593873463345,61.73328,1009.81103515625,1.8426861265366554
2.8000000000000003,59.8389783981427,61.73328,1041.1927490234375,1.8943016018573005
2.9000000000000004,59.78844624223349,61.73328,1072.1856689453125,1.94483375776651
3.0,59.738983440873994,61.73328,1102.7919921875,1.9942965591260062
3.1,59.6905761267189,61.73328,1133.01904296875,2.0427038732810985
3.2,59.64321070054629,61.73328,1162.866455078125,2.0900692994537096
3.3000000000000003,59.5968735737904,61.73328,1192.341552734375,2.1364064262096036
3.4000000000000004,59.551551424827224,61.73328,1221.4464111328125,2.1817285751727766
3.5,59.50723102305198,61.73328,1250.183837890625,2.2260489769480216
3.6,59.463899252806804,61.73328,1278.5611572265625,2.269380747193196
3.7,59.421543263659366,61.73328,1306.5755615234375,2.3117367363406345
3.8000000000000003,59.38015013147913,61.73328,1334.2354736328125,2.353129868520874
3.9000000000000004,59.3397072330401,61.73328,1361.5428466796875,2.393572766959899
4.0,59.30020202937587,61.73328,1388.500732421875,2.433077970624133
4.1000000000000005,59.2616221019964,61.73328,1415.112060546875,2.471657898003599
4.2,59.223955148332365,61.73328,1441.38427734375,2.5093248516676354
4.3,59.187189132081194,61.73328,1467.31298828125,2.5460908679188066
4.4,59.15131188728402,61.73328,1492.908935546875,2.581968112715984
4.5,59.11631162345991,61.73328,1518.17431640625,2.6169683765400933
4.6000000000000005,59.08217663968751,61.73328,1543.107666015625,2.65110336031249
4.7,59.048895201915606,61.73328,1567.715087890625,2.6843847980843947
4.800000000000001,59.016455795353146,61.73328,1592.0015869140625,2.716824204646855
4.9,58.98484708731505,61.73328,1615.9681396484375,2.7484329126849474
5.0,58.954057792275925,61.73328,1639.6180419921875,2.779222207724075
5.1000000000000005,58.92407674896918,61.73328,1662.956787109375,2.809203251030823
5.2,58.89489299337251,61.73328,1685.9830322265625,2.8383870066274923
5.300000000000001,58.86649553002987,61.73328,1708.703125,2.8667844699701277
5.4,58.838873588570564,61.73328,1731.1199951171875,2.8944064114294363
5.5,58.812016509161495,61.73328,1753.2371826171875,2.9212634908385056
5.6000000000000005,58.78591376254685,61.73328,1775.0533447265625,2.947366237453153
5.7,58.76055478665986,61.73328,1796.57763671875,2.9727252133401407
5.800000000000001,58.73592933692542,61.73328,1817.810302734375,2.9973506630745774
5.9,58.71202718826733,61.73328,1838.750732421875,3.0212528117326727
6.0,58.68883810631914,61.73328,1859.4078369140625,3.0444418936808617
6.1000000000000005,58.666352165127236,61.73328,1879.782470703125,3.0669278348727644
6.2,58.64455947771905,61.73328,1899.875732421875,3.0887205222809513
6.300000000000001,58.623450204009146,61.73328,1919.68994140625,3.109829795990855
6.4,58.60301459131616,61.73328,1939.231201171875,3.13026540868384
6.5,58.583243100461864,61.73328,1958.5008544921875,3.1500368995381365
6.6000000000000005,58.564126246477045,61.73328,1977.502685546875,3.1691537535229557
6.7,58.5456546798959,61.73328,1996.236083984375,3.187625320104104
6.800000000000001,58.52781903974744,61.73328,2014.7054443359375,3.2054609602525588
6.9,58.51061012049787,61.73328,2032.9173583984375,3.222669879502128
7.0,58.49401894515441,61.73328,2050.867919921875,3.239261054845592
7.1000000000000005,58.47803641441609,61.73328,2068.56494140625,3.255243585583912
7.2,58.462653697883695,61.73328,2086.0068359375,3.2706263021163053
7.300000000000001,58.44786191988462,61.73328,2103.200927734375,3.2854180801153774
7.4,58.43365245689991,61.73328,2120.146484375,3.299627543100094
7.5,58.42001666824726,61.73328,2136.845458984375,3.3132633317527436
7.6000000000000005,58.406945985619515,61.73328,2153.30517578125,3.3263340143804854
7.7,58.39443209225426,61.73328,2169.521728515625,3.3388479077457376
7.800000000000001,58.38246654765284,61.73328,2185.5029296875,3.350813452347161
7.9,58.3710411788279,61.73328,2201.248046875,3.362238821172099
8.0,58.36014779469892,61.73328,2216.75927734375,3.373132205301083
8.1,58.34977828380769,61.73328,2232.0439453125,3.3835017161923133
8.200000000000001,58.3399247853561,61.73328,2247.09912109375,3.393355214643904
8.3,58.33057934655849,61.73328,2261.92919921875,3.4027006534415136
8.4,58.321734167152556,61.73328,2276.534912109375,3.4115458328474446
8.5,58.31338147692646,61.73328,2290.9228515625,3.4198985230735417
8.6,58.30551373125782,61.73328,2305.09033203125,3.4277662687421824
8.700000000000001,58.298123301105726,61.73328,2319.044677734375,3.435156698894275
8.8,58.29120280720939,61.73328,2332.78369140625,3.442077192790613
8.9,58.28474480192242,61.73328,2346.312255859375,3.448535198077579
9.0,58.27874200558204,61.73328,2359.63037109375,3.4545379944179615
9.1,58.27318714328926,61.73328,2372.74560546875,3.4600928567107374
9.200000000000001,58.2680731975508,61.73328,2385.65234375,3.4652068024492024
